Ats System Code,Geographical District Code,Elementary Admissions Methods,Elementary School Admissions Methods Description
12X150,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X195,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X196,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X211,12,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
12X212,12,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
12X214,12,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
12X300,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X314,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X458,12,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
12X463,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X531,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X536,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X691,12,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
13K003,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K008,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K009,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K011,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K020,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K044,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K046,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K054,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K056,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K067,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K093,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K133,13,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
13K256,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K270,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K282,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K287,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K305,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K307,13,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
13K492,13,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them.  There is priority to applicants eligible for Free or Reduced Price Lunch (based on family income) for 40% of seats.
14K016,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K017,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K018,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K023,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K031,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K034,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K059,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K084,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K110,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K120,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K132,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K147,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K157,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K196,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K250,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K257,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K297,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K319,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K380,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
14K414,14,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K001,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K010,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K015,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K024,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K029,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K032,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K038,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K039,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K058,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K094,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K107,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K118,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K124,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K130,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K131,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K146,15,Non-Zoned,Priority to applicants eligible for Free or Reduced Price Lunch (based on family income) after siblings and current pre-K students are admitted.
15K154,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K169,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K172,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K230,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K261,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K295,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K321,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
27Q273,27,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K516,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
15K676,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K005,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K021,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K025,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K026,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K028,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K040,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K081,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K243,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K262,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K308,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K309,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K335,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K627,16,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
16K628,16,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
17K006,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K012,23,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K091,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K092,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K138,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K161,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K181,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K189,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K191,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K221,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K241,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K249,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K289,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K316,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K375,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K394,17,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
17K397,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K398,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K399,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K532,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K134,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
17K705,17,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend. For 20% of the seats, there is priority to applicants who are English Language Learners and/or are in the child welfare system."
17K770,17,Non-Zoned,"This school does not have a zone. Families who live anywhere in the district or borough can attend them. For 40% of seats, there is priority to applicants eligible for Free or Reduced Price Lunch (based on family income)."
18K066,18,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
18K114,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K115,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K135,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K208,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K219,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K233,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K235,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K244,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K268,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K272,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K276,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
18K279,18,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K007,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K013,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K065,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K089,19,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
19K108,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K149,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K158,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K159,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K190,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K202,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K213,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K214,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K224,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K273,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K290,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K306,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K325,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K328,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K345,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K346,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K557,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
19K677,19,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K030,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K048,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K069,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K102,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K104,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K105,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K112,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K127,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K160,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K163,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K164,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K170,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K176,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K179,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K180,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K185,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K186,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K192,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K200,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K204,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K205,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K229,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K247,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K264,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K310,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K503,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K506,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K682,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K686,20,Citywide G&T,
20K748,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
20K971,20,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K090,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K095,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K097,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K099,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K100,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K101,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K121,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K128,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K153,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K177,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K188,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K199,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K209,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K212,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K215,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K216,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K225,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K226,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K238,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K253,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K288,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
21K329,21,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K052,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K109,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K119,22,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
22K139,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K152,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K193,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K194,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K195,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K197,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K198,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K203,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K206,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K207,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K217,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K222,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K236,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K245,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K251,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K254,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K255,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K277,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K312,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K315,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K326,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K361,22,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
22K889,15,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
23K041,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K137,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K150,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K155,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K156,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K165,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K178,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K184,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K284,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K298,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K323,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K327,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K401,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K446,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
23K599,23,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
24Q007,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q012,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q013,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q014,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q016,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q019,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q028,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q049,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q058,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q068,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q071,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q081,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q087,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q088,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q089,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q091,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q102,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q110,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q113,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q119,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q128,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q143,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q153,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q199,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q211,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q229,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q239,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q290,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q305,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q307,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q330,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
24Q343,24,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q020,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q021,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q022,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q024,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q029,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q032,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q079,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q107,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q120,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q129,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q130,26,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
25Q154,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q163,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q164,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q165,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q169,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q184,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q193,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q200,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q201,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q209,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q214,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q219,25,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
25Q242,25,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
25Q244,25,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
25Q499,25,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
26Q018,26,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
26Q026,26,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
26Q031,26,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
26Q041,26,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
26Q046,26,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
26Q094,26,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
