,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1, % Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
1395,10X015,P.S. X015 Institute for Environmental Learning,5,2018,All Students,49,601,10,20.4,23,46.9,13,26.5,3,6.1,16,32.7
1396,10X015,P.S. X015 Institute for Environmental Learning,6,2018,All Students,56,602,13,23.2,16,28.6,16,28.6,11,19.6,27,48.2
1397,10X015,P.S. X015 Institute for Environmental Learning,7,2018,All Students,53,600,14,26.4,19,35.8,16,30.2,4,7.5,20,37.7
1398,10X015,P.S. X015 Institute for Environmental Learning,8,2018,All Students,55,605,4,7.3,17,30.9,21,38.2,13,23.6,34,61.8
1400,10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",3,2018,All Students,110,588,32,29.1,52,47.3,26,23.6,0,0.0,26,23.6
1401,10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",4,2018,All Students,100,591,29,29.0,41,41.0,25,25.0,5,5.0,30,30.0
1402,10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",5,2018,All Students,127,592,57,44.9,48,37.8,17,13.4,5,3.9,22,17.3
1403,10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",6,2018,All Students,111,598,28,25.2,35,31.5,31,27.9,17,15.3,48,43.2
1404,10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",7,2018,All Students,117,594,38,32.5,58,49.6,15,12.8,6,5.1,21,17.9
1405,10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",8,2018,All Students,110,598,20,18.2,39,35.5,35,31.8,16,14.5,51,46.4
1407,10X023,P.S. 023 The New Children's School,3,2018,All Students,54,588,17,31.5,28,51.9,8,14.8,1,1.9,9,16.7
1408,10X023,P.S. 023 The New Children's School,4,2018,All Students,87,588,26,29.9,45,51.7,14,16.1,2,2.3,16,18.4
1409,10X023,P.S. 023 The New Children's School,5,2018,All Students,61,592,33,54.1,18,29.5,8,13.1,2,3.3,10,16.4
1411,10X024,P.S. 024 Spuyten Duyvil,3,2018,All Students,144,614,8,5.6,22,15.3,77,53.5,37,25.7,114,79.2
1412,10X024,P.S. 024 Spuyten Duyvil,4,2018,All Students,129,615,6,4.7,21,16.3,44,34.1,58,45.0,102,79.1
1413,10X024,P.S. 024 Spuyten Duyvil,5,2018,All Students,133,613,16,12.0,38,28.6,28,21.1,51,38.3,79,59.4
1415,10X032,P.S. 032 Belmont,3,2018,All Students,138,587,54,39.1,56,40.6,27,19.6,1,0.7,28,20.3
1416,10X032,P.S. 032 Belmont,4,2018,All Students,125,590,35,28.0,57,45.6,27,21.6,6,4.8,33,26.4
1417,10X032,P.S. 032 Belmont,5,2018,All Students,124,592,61,49.2,36,29.0,21,16.9,6,4.8,27,21.8
1419,10X033,P.S. 033 Timothy Dwight,3,2018,All Students,134,589,48,35.8,52,38.8,33,24.6,1,0.7,34,25.4
1420,10X033,P.S. 033 Timothy Dwight,4,2018,All Students,129,593,36,27.9,54,41.9,28,21.7,11,8.5,39,30.2
1421,10X033,P.S. 033 Timothy Dwight,5,2018,All Students,136,599,48,35.3,43,31.6,34,25.0,11,8.1,45,33.1
1423,10X037,P.S. X037 - Multiple Intelligence School,3,2018,All Students,86,591,25,29.1,42,48.8,16,18.6,3,3.5,19,22.1
1424,10X037,P.S. X037 - Multiple Intelligence School,4,2018,All Students,87,590,33,37.9,35,40.2,12,13.8,7,8.0,19,21.8
1425,10X037,P.S. X037 - Multiple Intelligence School,5,2018,All Students,81,593,36,44.4,29,35.8,12,14.8,4,4.9,16,19.8
1426,10X037,P.S. X037 - Multiple Intelligence School,6,2018,All Students,53,600,14,26.4,13,24.5,14,26.4,12,22.6,26,49.1
1427,10X037,P.S. X037 - Multiple Intelligence School,7,2018,All Students,45,599,13,28.9,16,35.6,11,24.4,5,11.1,16,35.6
1428,10X037,P.S. X037 - Multiple Intelligence School,8,2018,All Students,61,598,8,13.1,33,54.1,14,23.0,6,9.8,20,32.8
1430,10X045,Thomas C. Giordano Middle School 45,6,2018,All Students,212,594,71,33.5,68,32.1,51,24.1,22,10.4,73,34.4
1431,10X045,Thomas C. Giordano Middle School 45,7,2018,All Students,217,592,84,38.7,87,40.1,41,18.9,5,2.3,46,21.2
1432,10X045,Thomas C. Giordano Middle School 45,8,2018,All Students,235,596,50,21.3,99,42.1,57,24.3,29,12.3,86,36.6
1434,10X046,P.S. 046 Edgar Allan Poe,3,2018,All Students,140,591,45,32.1,48,34.3,39,27.9,8,5.7,47,33.6
1435,10X046,P.S. 046 Edgar Allan Poe,4,2018,All Students,168,587,66,39.3,62,36.9,30,17.9,10,6.0,40,23.8
1436,10X046,P.S. 046 Edgar Allan Poe,5,2018,All Students,145,583,103,71.0,28,19.3,11,7.6,3,2.1,14,9.7
1438,10X051,P.S. 051 Bronx New School,3,2018,All Students,34,594,7,20.6,13,38.2,12,35.3,2,5.9,14,41.2
1439,10X051,P.S. 051 Bronx New School,4,2018,All Students,20,592,7,35.0,9,45.0,3,15.0,1,5.0,4,20.0
1440,10X051,P.S. 051 Bronx New School,5,2018,All Students,24,593,12,50.0,8,33.3,3,12.5,1,4.2,4,16.7
1442,10X054,P.S./I.S. 54,3,2018,All Students,57,593,15,26.3,23,40.4,18,31.6,1,1.8,19,33.3
1443,10X054,P.S./I.S. 54,4,2018,All Students,71,587,26,36.6,35,49.3,9,12.7,1,1.4,10,14.1
1444,10X054,P.S./I.S. 54,5,2018,All Students,57,590,31,54.4,19,33.3,5,8.8,2,3.5,7,12.3
1446,10X056,P.S. 056 Norwood Heights,3,2018,All Students,110,611,10,9.1,17,15.5,67,60.9,16,14.5,83,75.5
1447,10X056,P.S. 056 Norwood Heights,4,2018,All Students,99,602,19,19.2,27,27.3,27,27.3,26,26.3,53,53.5
1448,10X056,P.S. 056 Norwood Heights,5,2018,All Students,119,595,45,37.8,39,32.8,17,14.3,18,15.1,35,29.4
1450,10X059,P.S. 059 The Community School of Technology,3,2018,All Students,80,590,24,30.0,37,46.3,18,22.5,1,1.3,19,23.8
1451,10X059,P.S. 059 The Community School of Technology,4,2018,All Students,83,581,43,51.8,29,34.9,11,13.3,0,0.0,11,13.3
1452,10X059,P.S. 059 The Community School of Technology,5,2018,All Students,107,592,45,42.1,45,42.1,13,12.1,4,3.7,17,15.9
1454,10X077,Bedford Park Elementary School,3,2018,All Students,65,601,13,20.0,14,21.5,32,49.2,6,9.2,38,58.5
1456,10X080,J.H.S. 080 The Mosholu Parkway,6,2018,All Students,208,590,94,45.2,46,22.1,44,21.2,24,11.5,68,32.7
1457,10X080,J.H.S. 080 The Mosholu Parkway,7,2018,All Students,208,589,100,48.1,60,28.8,42,20.2,6,2.9,48,23.1
1458,10X080,J.H.S. 080 The Mosholu Parkway,8,2018,All Students,215,594,62,28.8,69,32.1,55,25.6,29,13.5,84,39.1
1460,10X081,P.S. 081 Robert J. Christen,3,2018,All Students,87,609,2,2.3,23,26.4,52,59.8,10,11.5,62,71.3
1461,10X081,P.S. 081 Robert J. Christen,4,2018,All Students,81,613,1,1.2,16,19.8,34,42.0,30,37.0,64,79.0
1462,10X081,P.S. 081 Robert J. Christen,5,2018,All Students,78,611,10,12.8,21,26.9,29,37.2,18,23.1,47,60.3
1464,10X085,P.S. 085 Great Expectations,3,2018,All Students,143,588,55,38.5,52,36.4,31,21.7,5,3.5,36,25.2
1465,10X085,P.S. 085 Great Expectations,4,2018,All Students,142,584,61,43.0,55,38.7,21,14.8,5,3.5,26,18.3
1466,10X085,P.S. 085 Great Expectations,5,2018,All Students,149,585,100,67.1,36,24.2,12,8.1,1,0.7,13,8.7
1468,10X086,P.S. 086 Kingsbridge Heights,3,2018,All Students,237,595,55,23.2,95,40.1,78,32.9,9,3.8,87,36.7
1469,10X086,P.S. 086 Kingsbridge Heights,4,2018,All Students,224,597,58,25.9,73,32.6,59,26.3,34,15.2,93,41.5
1470,10X086,P.S. 086 Kingsbridge Heights,5,2018,All Students,209,597,78,37.3,60,28.7,50,23.9,21,10.0,71,34.0
1471,10X086,P.S. 086 Kingsbridge Heights,6,2018,All Students,215,599,67,31.2,48,22.3,40,18.6,60,27.9,100,46.5
1473,10X091,P.S. 091 Bronx,3,2018,All Students,108,586,45,41.7,41,38.0,21,19.4,1,0.9,22,20.4
1474,10X091,P.S. 091 Bronx,4,2018,All Students,124,594,30,24.2,44,35.5,41,33.1,9,7.3,50,40.3
1475,10X091,P.S. 091 Bronx,5,2018,All Students,109,594,46,42.2,38,34.9,13,11.9,12,11.0,25,22.9
1477,10X094,P.S. 094 Kings College School,3,2018,All Students,196,586,78,39.8,72,36.7,45,23.0,1,0.5,46,23.5
1478,10X094,P.S. 094 Kings College School,4,2018,All Students,185,587,72,38.9,73,39.5,32,17.3,8,4.3,40,21.6
1479,10X094,P.S. 094 Kings College School,5,2018,All Students,170,592,85,50.0,49,28.8,24,14.1,12,7.1,36,21.2
1481,10X095,P.S. 095 Sheila Mencher,3,2018,All Students,127,598,31,24.4,37,29.1,53,41.7,6,4.7,59,46.5
1482,10X095,P.S. 095 Sheila Mencher,4,2018,All Students,138,595,31,22.5,56,40.6,42,30.4,9,6.5,51,37.0
1483,10X095,P.S. 095 Sheila Mencher,5,2018,All Students,142,595,58,40.8,50,35.2,26,18.3,8,5.6,34,23.9
1484,10X095,P.S. 095 Sheila Mencher,6,2018,All Students,149,600,33,22.1,45,30.2,37,24.8,34,22.8,71,47.7
1485,10X095,P.S. 095 Sheila Mencher,7,2018,All Students,144,600,34,23.6,60,41.7,36,25.0,14,9.7,50,34.7
1486,10X095,P.S. 095 Sheila Mencher,8,2018,All Students,152,599,22,14.5,67,44.1,38,25.0,25,16.4,63,41.4
1488,10X118,J.H.S. 118 William W. Niles,6,2018,All Students,348,602,86,24.7,72,20.7,75,21.6,115,33.0,190,54.6
1489,10X118,J.H.S. 118 William W. Niles,7,2018,All Students,340,600,102,30.0,81,23.8,116,34.1,41,12.1,157,46.2
1490,10X118,J.H.S. 118 William W. Niles,8,2018,All Students,379,599,87,23.0,111,29.3,98,25.9,83,21.9,181,47.8
1492,10X141,Riverdale / Kingsbridge Academy (Middle School / H,6,2018,All Students,254,604,54,21.3,47,18.5,62,24.4,91,35.8,153,60.2
1493,10X141,Riverdale / Kingsbridge Academy (Middle School / H,7,2018,All Students,221,604,50,22.6,57,25.8,81,36.7,33,14.9,114,51.6
1494,10X141,Riverdale / Kingsbridge Academy (Middle School / H,8,2018,All Students,186,599,33,17.7,68,36.6,53,28.5,32,17.2,85,45.7
1496,10X159,P.S. 159 Luis Munoz Marin Biling,3,2018,All Students,46,600,8,17.4,11,23.9,25,54.3,2,4.3,27,58.7
1497,10X159,P.S. 159 Luis Munoz Marin Biling,4,2018,All Students,23,605,2,8.7,8,34.8,8,34.8,5,21.7,13,56.5
1498,10X159,P.S. 159 Luis Munoz Marin Biling,5,2018,All Students,19,607,3,15.8,7,36.8,6,31.6,3,15.8,9,47.4
1500,10X205,P.S. 205 Fiorello LaGuardia,3,2018,All Students,184,591,52,28.3,82,44.6,49,26.6,1,0.5,50,27.2
1501,10X205,P.S. 205 Fiorello LaGuardia,4,2018,All Students,154,594,28,18.2,76,49.4,44,28.6,6,3.9,50,32.5
1502,10X205,P.S. 205 Fiorello LaGuardia,5,2018,All Students,168,593,85,50.6,46,27.4,30,17.9,7,4.2,37,22.0
1504,10X206,I.S. 206 Ann Mersereau,6,2018,All Students,65,584,39,60.0,18,27.7,7,10.8,1,1.5,8,12.3
1505,10X206,I.S. 206 Ann Mersereau,7,2018,All Students,53,588,29,54.7,19,35.8,5,9.4,0,0.0,5,9.4
1506,10X206,I.S. 206 Ann Mersereau,8,2018,All Students,60,584,27,45.0,26,43.3,7,11.7,0,0.0,7,11.7
1508,10X225,Theatre Arts Production Company School,6,2018,All Students,66,591,33,50.0,17,25.8,12,18.2,4,6.1,16,24.2
1509,10X225,Theatre Arts Production Company School,7,2018,All Students,64,598,14,21.9,30,46.9,18,28.1,2,3.1,20,31.3
1510,10X225,Theatre Arts Production Company School,8,2018,All Students,45,602,7,15.6,15,33.3,15,33.3,8,17.8,23,51.1
1512,10X226,P.S. 226,3,2018,All Students,53,589,13,24.5,24,45.3,15,28.3,1,1.9,16,30.2
1513,10X226,P.S. 226,4,2018,All Students,66,590,20,30.3,24,36.4,17,25.8,5,7.6,22,33.3
1514,10X226,P.S. 226,5,2018,All Students,59,594,25,42.4,19,32.2,9,15.3,6,10.2,15,25.4
1516,10X228,Jonas Bronck Academy,6,2018,All Students,90,604,10,11.1,26,28.9,29,32.2,25,27.8,54,60.0
1517,10X228,Jonas Bronck Academy,7,2018,All Students,87,608,7,8.0,31,35.6,34,39.1,15,17.2,49,56.3
1518,10X228,Jonas Bronck Academy,8,2018,All Students,88,607,4,4.5,28,31.8,33,37.5,23,26.1,56,63.6
1520,10X243,West Bronx Academy for the Future,6,2018,All Students,90,598,23,25.6,32,35.6,23,25.6,12,13.3,35,38.9
1521,10X243,West Bronx Academy for the Future,7,2018,All Students,88,593,40,45.5,22,25.0,22,25.0,4,4.5,26,29.5
1522,10X243,West Bronx Academy for the Future,8,2018,All Students,93,594,23,24.7,40,43.0,21,22.6,9,9.7,30,32.3
1524,10X244,The New School for Leadership and Journalism,6,2018,All Students,183,596,57,31.1,58,31.7,42,23.0,26,14.2,68,37.2
1525,10X244,The New School for Leadership and Journalism,7,2018,All Students,268,598,76,28.4,101,37.7,74,27.6,17,6.3,91,34.0
1526,10X244,The New School for Leadership and Journalism,8,2018,All Students,245,600,36,14.7,93,38.0,79,32.2,37,15.1,116,47.3
1528,10X246,P.S. 246 Poe Center,3,2018,All Students,128,588,43,33.6,50,39.1,35,27.3,0,0.0,35,27.3
1529,10X246,P.S. 246 Poe Center,4,2018,All Students,117,583,59,50.4,40,34.2,16,13.7,2,1.7,18,15.4
1530,10X246,P.S. 246 Poe Center,5,2018,All Students,132,587,80,60.6,36,27.3,12,9.1,4,3.0,16,12.1
1532,10X254,I.S. 254,6,2018,All Students,152,589,78,51.3,34,22.4,21,13.8,19,12.5,40,26.3
1533,10X254,I.S. 254,7,2018,All Students,142,595,54,38.0,52,36.6,29,20.4,7,4.9,36,25.4
1534,10X254,I.S. 254,8,2018,All Students,117,593,27,23.1,56,47.9,21,17.9,13,11.1,34,29.1
1536,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",3,2018,All Students,113,590,34,30.1,49,43.4,29,25.7,1,0.9,30,26.5
1537,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",4,2018,All Students,108,592,31,28.7,48,44.4,18,16.7,11,10.2,29,26.9
1538,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",5,2018,All Students,126,595,53,42.1,41,32.5,23,18.3,9,7.1,32,25.4
1539,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",6,2018,All Students,119,594,39,32.8,45,37.8,23,19.3,12,10.1,35,29.4
1540,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",7,2018,All Students,118,592,50,42.4,48,40.7,15,12.7,5,4.2,20,16.9
1541,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",8,2018,All Students,135,596,23,17.0,66,48.9,31,23.0,15,11.1,46,34.1
1543,10X280,P.S./M.S. 280 Mosholu Parkway,3,2018,All Students,83,595,20,24.1,30,36.1,30,36.1,3,3.6,33,39.8
1544,10X280,P.S./M.S. 280 Mosholu Parkway,4,2018,All Students,86,597,17,19.8,33,38.4,27,31.4,9,10.5,36,41.9
1545,10X280,P.S./M.S. 280 Mosholu Parkway,5,2018,All Students,96,597,38,39.6,31,32.3,23,24.0,4,4.2,27,28.1
1546,10X280,P.S./M.S. 280 Mosholu Parkway,6,2018,All Students,98,594,31,31.6,29,29.6,20,20.4,18,18.4,38,38.8
1547,10X280,P.S./M.S. 280 Mosholu Parkway,7,2018,All Students,119,597,36,30.3,51,42.9,28,23.5,4,3.4,32,26.9
1548,10X280,P.S./M.S. 280 Mosholu Parkway,8,2018,All Students,94,599,12,12.8,41,43.6,23,24.5,18,19.1,41,43.6
1550,10X291,P.S. 291,3,2018,All Students,102,600,16,15.7,37,36.3,39,38.2,10,9.8,49,48.0
1551,10X291,P.S. 291,4,2018,All Students,104,596,22,21.2,44,42.3,27,26.0,11,10.6,38,36.5
1552,10X291,P.S. 291,5,2018,All Students,98,600,29,29.6,37,37.8,20,20.4,12,12.2,32,32.7
1554,10X306,P.S. 306,3,2018,All Students,105,594,32,30.5,30,28.6,40,38.1,3,2.9,43,41.0
1555,10X306,P.S. 306,4,2018,All Students,121,586,47,38.8,45,37.2,25,20.7,4,3.3,29,24.0
1556,10X306,P.S. 306,5,2018,All Students,131,589,72,55.0,38,29.0,17,13.0,4,3.1,21,16.0
1558,10X307,Luisa Pineiro Fuentes School of Science and Discov,3,2018,All Students,59,592,16,27.1,22,37.3,20,33.9,1,1.7,21,35.6
1559,10X307,Luisa Pineiro Fuentes School of Science and Discov,4,2018,All Students,55,592,18,32.7,18,32.7,13,23.6,6,10.9,19,34.5
1560,10X307,Luisa Pineiro Fuentes School of Science and Discov,5,2018,All Students,52,588,27,51.9,17,32.7,7,13.5,1,1.9,8,15.4
1562,10X308,Bronx Dance Academy School,6,2018,All Students,89,598,23,25.8,26,29.2,27,30.3,13,14.6,40,44.9
1563,10X308,Bronx Dance Academy School,7,2018,All Students,84,600,22,26.2,34,40.5,20,23.8,8,9.5,28,33.3
1564,10X308,Bronx Dance Academy School,8,2018,All Students,71,603,5,7.0,29,40.8,27,38.0,10,14.1,37,52.1
1566,10X310,P.S. 310 Marble Hill,3,2018,All Students,117,594,27,23.1,50,42.7,37,31.6,3,2.6,40,34.2
1567,10X310,P.S. 310 Marble Hill,4,2018,All Students,108,592,35,32.4,42,38.9,21,19.4,10,9.3,31,28.7
1568,10X310,P.S. 310 Marble Hill,5,2018,All Students,95,594,42,44.2,29,30.5,19,20.0,5,5.3,24,25.3
1570,10X315,P.S. 315 Lab School,3,2018,All Students,21,603,1,4.8,7,33.3,13,61.9,0,0.0,13,61.9
1571,10X315,P.S. 315 Lab School,4,2018,All Students,29,596,6,20.7,14,48.3,6,20.7,3,10.3,9,31.0
1572,10X315,P.S. 315 Lab School,5,2018,All Students,26,593,12,46.2,10,38.5,4,15.4,0,0.0,4,15.4
1573,10X315,P.S. 315 Lab School,6,2018,All Students,27,604,4,14.8,7,25.9,9,33.3,7,25.9,16,59.3
1574,10X315,P.S. 315 Lab School,7,2018,All Students,35,599,10,28.6,11,31.4,12,34.3,2,5.7,14,40.0
1575,10X315,P.S. 315 Lab School,8,2018,All Students,30,605,2,6.7,13,43.3,10,33.3,5,16.7,15,50.0
1577,10X331,The Bronx School of Young Leaders,6,2018,All Students,125,595,41,32.8,40,32.0,22,17.6,22,17.6,44,35.2
1578,10X331,The Bronx School of Young Leaders,7,2018,All Students,120,593,49,40.8,49,40.8,19,15.8,3,2.5,22,18.3
1579,10X331,The Bronx School of Young Leaders,8,2018,All Students,102,596,17,16.7,46,45.1,30,29.4,9,8.8,39,38.2
1581,10X340,P.S. 340,3,2018,All Students,91,595,18,19.8,36,39.6,34,37.4,3,3.3,37,40.7
1582,10X340,P.S. 340,4,2018,All Students,95,596,26,27.4,37,38.9,19,20.0,13,13.7,32,33.7
1583,10X340,P.S. 340,5,2018,All Students,92,592,48,52.2,28,30.4,9,9.8,7,7.6,16,17.4
1585,10X342,International School for Liberal Arts,6,2018,All Students,40,576,34,85.0,3,7.5,1,2.5,2,5.0,3,7.5
1586,10X342,International School for Liberal Arts,7,2018,All Students,33,592,15,45.5,9,27.3,8,24.2,1,3.0,9,27.3
1587,10X342,International School for Liberal Arts,8,2018,All Students,47,592,11,23.4,22,46.8,13,27.7,1,2.1,14,29.8
1589,10X344,Ampark Neighborhood,3,2018,All Students,61,602,8,13.1,19,31.1,31,50.8,3,4.9,34,55.7
1590,10X344,Ampark Neighborhood,4,2018,All Students,56,603,7,12.5,19,33.9,21,37.5,9,16.1,30,53.6
1591,10X344,Ampark Neighborhood,5,2018,All Students,73,606,15,20.5,25,34.2,20,27.4,13,17.8,33,45.2
1593,10X360,P.S. 360,3,2018,All Students,62,591,24,38.7,16,25.8,20,32.3,2,3.2,22,35.5
1594,10X360,P.S. 360,4,2018,All Students,63,601,12,19.0,13,20.6,28,44.4,10,15.9,38,60.3
1595,10X360,P.S. 360,5,2018,All Students,60,592,31,51.7,13,21.7,14,23.3,2,3.3,16,26.7
1597,10X363,Academy For Personal Leadership And Excellence,6,2018,All Students,162,586,82,50.6,57,35.2,18,11.1,5,3.1,23,14.2
1598,10X363,Academy For Personal Leadership And Excellence,7,2018,All Students,178,592,76,42.7,65,36.5,33,18.5,4,2.2,37,20.8
1599,10X363,Academy For Personal Leadership And Excellence,8,2018,All Students,163,594,36,22.1,70,42.9,44,27.0,13,8.0,57,35.0
1601,10X368,In-Tech Academy (M.S. / High School 368),6,2018,All Students,143,593,58,40.6,34,23.8,28,19.6,23,16.1,51,35.7
1602,10X368,In-Tech Academy (M.S. / High School 368),7,2018,All Students,159,596,44,27.7,63,39.6,34,21.4,18,11.3,52,32.7
1603,10X368,In-Tech Academy (M.S. / High School 368),8,2018,All Students,148,599,30,20.3,50,33.8,44,29.7,24,16.2,68,45.9
1605,10X382,"Elementary School for Math, Science, and Technolog",3,2018,All Students,49,589,15,30.6,20,40.8,14,28.6,0,0.0,14,28.6
1606,10X382,"Elementary School for Math, Science, and Technolog",4,2018,All Students,50,588,20,40.0,18,36.0,10,20.0,2,4.0,12,24.0
1607,10X382,"Elementary School for Math, Science, and Technolog",5,2018,All Students,40,589,23,57.5,11,27.5,4,10.0,2,5.0,6,15.0
1609,10X386,School for Environmental Citizenship,3,2018,All Students,86,583,38,44.2,36,41.9,11,12.8,1,1.2,12,14.0
1610,10X386,School for Environmental Citizenship,4,2018,All Students,89,587,42,47.2,24,27.0,17,19.1,6,6.7,23,25.8
1611,10X386,School for Environmental Citizenship,5,2018,All Students,68,590,36,52.9,21,30.9,10,14.7,1,1.5,11,16.2
1613,10X390,M.S. 390,6,2018,All Students,167,596,52,31.1,53,31.7,37,22.2,25,15.0,62,37.1
1614,10X390,M.S. 390,7,2018,All Students,164,590,79,48.2,52,31.7,27,16.5,6,3.7,33,20.1
1615,10X390,M.S. 390,8,2018,All Students,146,593,34,23.3,56,38.4,44,30.1,12,8.2,56,38.4
1617,10X391,The Angelo Patri Middle School,6,2018,All Students,164,583,109,66.5,34,20.7,15,9.1,6,3.7,21,12.8
1618,10X391,The Angelo Patri Middle School,7,2018,All Students,150,583,93,62.0,43,28.7,13,8.7,1,0.7,14,9.3
1619,10X391,The Angelo Patri Middle School,8,2018,All Students,169,587,60,35.5,64,37.9,34,20.1,11,6.5,45,26.6
1621,10X396,P.S. 396,3,2018,All Students,43,584,18,41.9,16,37.2,7,16.3,2,4.7,9,20.9
1622,10X396,P.S. 396,4,2018,All Students,49,584,25,51.0,15,30.6,7,14.3,2,4.1,9,18.4
1623,10X396,P.S. 396,5,2018,All Students,53,586,31,58.5,14,26.4,6,11.3,2,3.8,8,15.1
1625,10X447,Creston Academy,6,2018,All Students,122,594,45,36.9,42,34.4,20,16.4,15,12.3,35,28.7
1626,10X447,Creston Academy,7,2018,All Students,159,595,56,35.2,63,39.6,35,22.0,5,3.1,40,25.2
1627,10X447,Creston Academy,8,2018,All Students,146,596,38,26.0,41,28.1,47,32.2,20,13.7,67,45.9
1629,10X459,East Fordham Academy for the Arts,6,2018,All Students,87,587,44,50.6,28,32.2,11,12.6,4,4.6,15,17.2
1630,10X459,East Fordham Academy for the Arts,7,2018,All Students,88,585,52,59.1,28,31.8,6,6.8,2,2.3,8,9.1
1631,10X459,East Fordham Academy for the Arts,8,2018,All Students,92,593,23,25.0,41,44.6,25,27.2,3,3.3,28,30.4
1633,11X016,P.S. 016 Wakefield,3,2018,All Students,58,596,11,19.0,22,37.9,22,37.9,3,5.2,25,43.1
1634,11X016,P.S. 016 Wakefield,4,2018,All Students,54,599,7,13.0,25,46.3,14,25.9,8,14.8,22,40.7
1635,11X016,P.S. 016 Wakefield,5,2018,All Students,71,595,28,39.4,26,36.6,12,16.9,5,7.0,17,23.9
1637,11X019,P.S. 019 Judith K. Weiss,3,2018,All Students,60,605,6,10.0,18,30.0,33,55.0,3,5.0,36,60.0
1638,11X019,P.S. 019 Judith K. Weiss,4,2018,All Students,58,604,5,8.6,22,37.9,24,41.4,7,12.1,31,53.4
1639,11X019,P.S. 019 Judith K. Weiss,5,2018,All Students,49,603,13,26.5,17,34.7,11,22.4,8,16.3,19,38.8
1640,11X019,P.S. 019 Judith K. Weiss,6,2018,All Students,55,605,14,25.5,8,14.5,16,29.1,17,30.9,33,60.0
1641,11X019,P.S. 019 Judith K. Weiss,7,2018,All Students,54,611,6,11.1,14,25.9,20,37.0,14,25.9,34,63.0
1642,11X019,P.S. 019 Judith K. Weiss,8,2018,All Students,44,605,9,20.5,11,25.0,8,18.2,16,36.4,24,54.5
1644,11X021,P.S. 021 Philip H. Sheridan,3,2018,All Students,136,593,37,27.2,52,38.2,47,34.6,0,0.0,47,34.6
1645,11X021,P.S. 021 Philip H. Sheridan,4,2018,All Students,133,593,32,24.1,57,42.9,38,28.6,6,4.5,44,33.1
1646,11X021,P.S. 021 Philip H. Sheridan,5,2018,All Students,99,589,52,52.5,41,41.4,5,5.1,1,1.0,6,6.1
1648,11X041,P.S. 041 Gun Hill Road,3,2018,All Students,136,594,39,28.7,42,30.9,49,36.0,6,4.4,55,40.4
1649,11X041,P.S. 041 Gun Hill Road,4,2018,All Students,155,597,44,28.4,44,28.4,36,23.2,31,20.0,67,43.2
1650,11X041,P.S. 041 Gun Hill Road,5,2018,All Students,157,598,68,43.3,30,19.1,27,17.2,32,20.4,59,37.6
1652,11X068,P.S. 068 Bronx,3,2018,All Students,106,598,16,15.1,37,34.9,49,46.2,4,3.8,53,50.0
1653,11X068,P.S. 068 Bronx,4,2018,All Students,118,599,20,16.9,48,40.7,36,30.5,14,11.9,50,42.4
1654,11X068,P.S. 068 Bronx,5,2018,All Students,111,600,38,34.2,30,27.0,29,26.1,14,12.6,43,38.7
1656,11X076,P.S. 076 The Bennington School,3,2018,All Students,166,586,70,42.2,53,31.9,41,24.7,2,1.2,43,25.9
1657,11X076,P.S. 076 The Bennington School,4,2018,All Students,158,590,48,30.4,71,44.9,28,17.7,11,7.0,39,24.7
1658,11X076,P.S. 076 The Bennington School,5,2018,All Students,163,590,84,51.5,54,33.1,22,13.5,3,1.8,25,15.3
1660,11X078,P.S. 078 Anne Hutchinson,3,2018,All Students,145,592,39,26.9,60,41.4,43,29.7,3,2.1,46,31.7
1661,11X078,P.S. 078 Anne Hutchinson,4,2018,All Students,134,589,49,36.6,47,35.1,30,22.4,8,6.0,38,28.4
1662,11X078,P.S. 078 Anne Hutchinson,5,2018,All Students,130,596,50,38.5,49,37.7,28,21.5,3,2.3,31,23.8
1664,11X083,P.S. 083 Donald Hertz,3,2018,All Students,178,596,34,19.1,72,40.4,63,35.4,9,5.1,72,40.4
1665,11X083,P.S. 083 Donald Hertz,4,2018,All Students,181,596,49,27.1,63,34.8,41,22.7,28,15.5,69,38.1
1666,11X083,P.S. 083 Donald Hertz,5,2018,All Students,180,597,72,40.0,49,27.2,38,21.1,21,11.7,59,32.8
1667,11X083,P.S. 083 Donald Hertz,6,2018,All Students,198,604,42,21.2,42,21.2,40,20.2,74,37.4,114,57.6
1668,11X083,P.S. 083 Donald Hertz,7,2018,All Students,197,604,39,19.8,63,32.0,61,31.0,34,17.3,95,48.2
1669,11X083,P.S. 083 Donald Hertz,8,2018,All Students,219,603,39,17.8,62,28.3,55,25.1,63,28.8,118,53.9
