,Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Offers Kindergarten Classes,Has A Pre-K,Grades Offered,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal,Geographical District Code,Admin District Location Code,Lat,Lon,Pre-K Seats Available,Pre-K Applicants,Pre-K offers,Pre-K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre-K Total Enrollment Including Half Day And Full Day,Number of Female Students in Pre-K,Percentage of Female Students in Pre-K,Number of Male Students in Pre-K,Percentage of Male Students in Pre-K,Number of Asian Students in Pre-K,Percentage of Asian Students in Pre-K,Number of Black Students in Pre-K,Percentage of Black Students in Pre-K,Number of Hispanic Students in Pre-K,Percentage of Hispanic Students in Pre-K,Number of Students with a Race listed as Other in Pre-K,Percentage of Students with a Race listed as Other in Pre-K,Number of White Students in Pre-K,Percentage of White Students in Pre-K,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
383,17K181,K181,P.S. 181 Brooklyn,332000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1922,1922,96,999267,175444,317,45,85600,3049040010,BK91,East Flatbush-Farragut                                                     ,Victor Esannason,17,K817,40.648216999999995,-73.945883,28,99,28,28%,50,127,54,43%,120,185,86,0.464864865,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,34,16,47%,18,53%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,30,88%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,142,32%,98,22%,No,11,24,0,0,25,2,Gymnasium,Y,Inside,N,Yes,Yes,79,"$8,113,126",$0,$0,689,53,70,61,65,79,92,77,77,81,0,0,0,0,319,46%,370,54%,7,1%,579,84%,69,10%,16,2%,18,3%,136,20%,96,14%,512,74%,79%,128,469,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-462-5298,"1023 NEW YORK AVENUE, BROOKLYN NY 11203",2,1,Yes,Partially Accessible,No
384,17K189,K189,P.S. 189 The Bilingual Center,332000000000.0,DOE,General Academic,K-8,Yes,No,"K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1923,1923,95,1004936,181646,317,41,89200,3045990001,BK81,Brownsville                                                                ,Berthe Faustin,17,K817,40.665228000000006,-73.925435,No Pre K,No Pre K,No Pre K,No Pre K,100,194,73,38%,129,275,130,0.472727273,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,405,59%,390,56%,No,26,25,0,0,25,1,Dance Room,N,Inside,N,Yes,Yes,101,"$9,949,661",$0,$0,1054,101,112,97,130,110,112,123,150,119,0,0,0,0,541,51%,513,49%,37,4%,733,70%,261,25%,10,1%,13,1%,145,14%,205,19%,971,92%,82%,195,845,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,"Haitian-Creole, Spanish",718-756-0210,"1100 EAST NEW YORK AVENUE, BROOKLYN NY 11212",2,1,No,Not Accessible,No
385,17K191,K191,P.S. 191 Paul Robeson,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1938,1938,80,1005297,184015,308,41,35900,3013750012,BK61,Crown Heights North                                                        ,Elsi Capolongo,17,K817,40.67173,-73.924127,18,56,15,27%,25,132,29,22%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,15,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,13,87%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,28,55%,28,55%,No,8,0,0,0,21,1,Multi-Purpose Classroom,Y,Inside,Y,Yes,Yes,28,"$2,666,164",$0,$0,170,23,18,30,27,28,29,0,0,0,0,0,0,0,78,46%,92,54%,3,2%,136,80%,26,15%,5,3%,0,0%,43,25%,14,8%,164,96%,95%,96,143,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-756-1206,"1600 PARK PLACE, BROOKLYN NY 11233",0,0,Yes,Not Accessible,Yes
386,17K221,K221,P.S. 221 Toussaint L'Ouverture,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1940,1940,78,1002074,181183,309,35,35500,3014230014,BK63,Crown Heights South                                                        ,Clara Moodie,17,K817,40.663964,-73.935753,54,77,15,19%,50,77,38,49%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,37,20,54%,17,46%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,34,92%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,47,37%,45,35%,No,Redacted For Privacy Concerns,16,0,0,0,0,Dance Room,Y,Inside,N,Yes,Yes,41,"$4,151,864",$0,$0,300,35,52,39,54,37,46,0,0,0,0,0,0,0,139,46%,161,54%,2,1%,260,87%,29,10%,1,0%,8,3%,55,18%,11,4%,273,91%,82%,72,169,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-756-0122,"791 EMPIRE BOULEVARD, BROOKLYN NY 11213",1,0,Yes,Not Accessible,No
387,17K241,K241,P.S. 241 Emma L. Johnston,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1931,1931,87,995090,182982,309,35,21300,3011880001,BK63,Crown Heights South                                                        ,Frantz Lucius,17,K817,40.668913,-73.960924,72,174,71,41%,100,194,73,38%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,57,31,54%,26,46%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,45,79%,7,12%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,123,51%,128,54%,No,6,19,0,0,0,1,Gymnasium,N,Inside,N,Yes,Yes,56,"$5,682,574",$0,$0,521,77,77,66,77,78,89,0,0,0,0,0,0,0,269,52%,252,48%,1,0%,447,86%,49,9%,12,2%,12,2%,60,12%,36,7%,454,87%,78%,114,382,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-636-4725,"976 PRESIDENT STREET, BROOKLYN NY 11225",0,1,No,Not Accessible,No
388,17K249,K249,P.S. 249 The Caton,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1951,1951,67,993558,175912,314,40,50600,3050750001,BK42,Flatbush                                                                   ,Elisa Brown,17,K817,40.649509,-73.96645600000001,36,257,36,14%,175,333,132,40%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,37,24,65%,13,35%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,11,30%,21,57%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,249,65%,268,70%,No,15,21,0,0,0,1,Dance Room,N,Inside,N,Yes,Yes,83,"$8,738,850",$0,$0,873,154,143,149,134,126,130,0,0,0,0,0,0,0,437,50%,436,50%,56,6%,359,41%,415,48%,8,1%,35,4%,147,17%,205,23%,673,77%,80%,206,580,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,Spanish,718-282-8828,"18 MARLBOROUGH ROAD, BROOKLYN NY 11226",1,1,No,Partially Accessible,Yes
389,17K289,K289,P.S. 289 George V. Brower,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1959,1959,59,1000227,184927,308,36,34100,3012290028,BK61,Crown Heights North                                                        ,Marc Mardy,17,K817,40.674244,-73.942401,36,58,20,34%,50,72,55,76%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,33,18,55%,15,45%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,23,70%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,82,46%,78,42%,No,Redacted For Privacy Concerns,24,0,0,25,1,Gymnasium,Y,Inside,N,Yes,Yes,63,"$6,112,755",$0,$0,394,55,53,52,65,71,65,0,0,0,0,0,0,0,206,52%,188,48%,21,5%,288,73%,53,13%,17,4%,15,4%,93,24%,33,8%,312,79%,84%,222,307,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-493-3824,"900 ST MARKS AVENUE, BROOKLYN NY 11213",0,1,Yes,Partially Accessible,No
390,17K316,K316,P.S. 316 Elijah Stroud,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, SE",7/1/1966,1966,52,994952,185085,308,35,21500,3011670018,BK64,Prospect Heights                                                           ,Olga Maluf,17,K817,40.674685,-73.96141800000001,54,228,54,24%,83,279,49,18%,No Data,No Data,No Data,No Data,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,45,22,49%,23,51%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,23,51%,6,13%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,10,22%,104,53%,110,56%,Yes,0,21,25,0,19,1,Gymnasium,Y,Inside,N,Yes,Yes,85,"$7,775,362",$0,$0,539,102,90,81,94,68,59,0,0,0,0,0,0,0,263,49%,276,51%,14,3%,378,70%,84,16%,12,2%,51,9%,83,15%,15,3%,354,66%,63%,195,417,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,Yes,Spanish,718-638-4043,"750 CLASSON AVENUE, BROOKLYN NY 11238",1,1,Yes,Not Accessible,Yes
391,17K375,K375,P.S. 375 Jackie Robinson School,332000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/2001,2001,17,995490,181629,309,35,32500,3013010001,BK63,Crown Heights South                                                        ,Schwanna Ellman,17,K817,40.665199,-73.959484,28,104,28,27%,100,111,74,67%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,27,14,52%,13,48%,6,22%,14,52%,6,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,60,31%,48,25%,No,37,16,0,0,18,0,Gymnasium,Y,Inside,N,No,No,60,"$5,445,846",$0,$0,387,51,50,49,56,74,80,0,0,0,0,0,0,0,171,44%,216,56%,14,4%,250,65%,103,27%,8,2%,12,3%,92,24%,92,24%,358,93%,85%,125,308,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,Spanish,718-693-6655,"46 MCKEEVER PLACE, BROOKLYN NY 11225",1,1,Yes,Not Accessible,No
392,17K394,K394,M.S. K394,332000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1999,1999,19,1003968,184371,308,36,34700,3013670022,BK61,Crown Heights North                                                        ,Monique Toran,17,K817,40.672709999999995,-73.928917,54,63,19,30%,40,51,31,61%,110,132,61,0.462121212,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,43,23,53%,20,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,28,65%,11,26%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,90,32%,51,19%,No,6,27,0,0,0,1,Multi-Purpose Classroom,Y,Inside,Y,No,No,49,"$5,123,845",$0,$0,477,53,49,44,41,39,55,49,49,55,0,0,0,0,271,57%,206,43%,38,8%,344,72%,88,18%,3,1%,4,1%,66,14%,29,6%,418,88%,85%,151,301,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,718-756-3164,"188 ROCHESTER AVENUE, BROOKLYN NY 11213",1,1,Yes,Not Accessible,Yes
393,17K397,K397,P.S. 397 Foster-Laurie,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1975,1975,43,999133,179250,309,40,81000,3048150020,BK60,Prospect Lefferts Gardens-Wingate                                          ,Marie Casseus Monteau,17,K817,40.658663,-73.94635799999999,18,64,18,28%,50,87,48,55%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,18,8,44%,10,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,10,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,46,48%,43,46%,No,0,16,0,0,17,1,Outdoor Yard,N,Outside,N,Yes,Yes,28,"$2,713,980",$0,$0,195,33,25,21,34,23,41,0,0,0,0,0,0,0,91,47%,104,53%,5,3%,135,69%,14,7%,27,14%,14,7%,31,16%,24,12%,171,88%,81%,64,163,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-774-5200,"490 FENIMORE STREET, BROOKLYN NY 11203",1,0,No,Partially Accessible,No
394,17K398,K398,P.S. 398 Walter Weaver,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1977,1977,41,1004231,180975,317,41,88200,3045950215,BK96,Rugby-Remsen Village                                                       ,Tammy Katan Brown,17,K817,40.663388,-73.92797900000001,54,50,11,22%,50,91,56,62%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,34,15,44%,19,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,30,88%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,25,20%,34,28%,No,Redacted For Privacy Concerns,24,0,0,19,1,Dance Room,Y,Inside,N,Yes,Yes,56,"$5,092,738",$0,$0,297,45,42,45,51,46,34,0,0,0,0,0,0,0,139,47%,158,53%,4,1%,242,81%,23,8%,22,7%,6,2%,76,26%,29,10%,287,97%,91%,176,248,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-774-4466,"60 EAST  94 STREET, BROOKLYN NY 11212",0,1,Yes,Fully Accessible,No
395,17K399,K399,P.S. 399 Stanley Eugene Clark,332000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1981,1981,37,997663,175465,317,40,82400,3051110001,BK95,Erasmus                                                                    ,Marion Brown,17,K817,40.648277,-73.95166400000001,No Pre K,No Pre K,No Pre K,No Pre K,50,93,47,51%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,68,33%,44,21%,No,Redacted For Privacy Concerns,24,0,0,24,1,Gym/Aud/Cafeteria,N,Inside,Y,Yes,Yes,32,"$3,303,787",$0,$0,400,48,73,57,72,70,80,0,0,0,0,0,0,0,202,50%,198,50%,11,3%,297,74%,55,14%,31,8%,6,1%,57,14%,49,12%,383,96%,82%,124,333,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-693-3023,"2707 ALBEMARLE ROAD, BROOKLYN NY 11226",1,1,No,Partially Accessible,No
396,17K532,K532,New Bridges Elementary,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/2013,2013,5,1002471,183221,308,35,35300,3013890035,BK61,Crown Heights North                                                        ,Kevin Bowles,17,K817,40.669557,-73.93431600000001,72,141,54,38%,75,139,67,48%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,72,35,49%,37,51%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,54,75%,14,19%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,53,31%,41,24%,No,0,25,0,0,26,1,Dance Room,N,Inside,N,No,No,61,"$5,478,919",$0,$0,468,77,68,67,69,59,56,0,0,0,0,0,0,0,214,46%,254,54%,8,2%,327,70%,103,22%,11,2%,19,4%,103,22%,50,11%,403,86%,86%,194,378,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-363-8200,"1025 EASTERN PARKWAY, BROOKLYN NY 11213",1,1,No,Not Accessible,No
397,22K134,K134,P.S. K134,332000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1999,1999,19,991694,169585,314,44,48000,3054160048,BK42,Flatbush                                                                   ,D Ramsaran,22,K822,40.632145,-73.97318,No Pre K,No Pre K,No Pre K,No Pre K,100,249,99,40%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,206,73%,233,83%,No,Redacted For Privacy Concerns,20,0,0,20,1,Gymnasium,N,Inside,N,No,No,60,"$5,660,450",$0,$0,570,81,105,98,103,90,93,0,0,0,0,0,0,0,289,51%,281,49%,249,44%,32,6%,62,11%,11,2%,216,38%,77,14%,126,22%,445,78%,84%,120,469,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-436-7200,"4001 18 AVENUE, BROOKLYN NY 11218",1,0,No,Not Accessible,Yes
398,17K705,K705,Brooklyn Arts and Science Elementary School,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/2012,2012,6,995319,185965,308,35,30500,3011480050,BK61,Crown Heights North                                                        ,Sandra Beauvoir Soto,17,K817,40.6771,-73.960093,36,342,32,9%,50,315,66,21%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,24,67%,12,33%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,9,25%,8,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,14,39%,36,26%,19,13%,No,84,26,0,0,25,1,Multi-Purpose Classroom,Y,Inside,Y,No,No,55,"$4,444,239",$0,$0,398,78,71,60,52,56,45,0,0,0,0,0,0,0,186,47%,212,53%,17,4%,184,46%,120,30%,5,1%,72,18%,96,24%,52,13%,249,63%,60%,140,216,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,Spanish,718-230-0851,"443 ST MARKS AVENUE, BROOKLYN NY 11238",0,1,Yes,Fully Accessible,Yes
399,17K770,K770,P.S. 770 New American Academy,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/2010,2010,8,1004231,180975,317,41,88200,3045950215,BK96,Rugby-Remsen Village                                                       ,Jessica Saratovsky,17,K817,40.663388,-73.92797900000001,54,139,54,39%,75,186,75,40%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,14,39%,22,61%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,12,33%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,8,22%,11,31%,38,41%,33,38%,No,13,20,0,0,22,1,Dance Room,Y,Inside,N,No,No,41,"$3,313,040",$0,$0,289,61,51,46,43,35,17,0,0,0,0,0,0,0,141,49%,148,51%,4,1%,169,58%,26,9%,35,12%,55,19%,46,16%,7,2%,161,56%,57%,142,170,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,718-221-5837,"60 EAST  94 STREET, BROOKLYN NY 11212",1,0,Yes,Fully Accessible,Yes
400,18K066,K066,P.S. 66,332000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/2003,2003,15,1010039,175647,318,42,97000,3081290060,BK50,Canarsie                                                                   ,Lucille Jackson,18,K818,40.648749,-73.907064,36,138,36,26%,75,198,68,34%,120,404,135,0.334158416,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,31,19,61%,12,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,25,81%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,240,42%,252,45%,No,16,21,0,0,21,1,Dance Room,Y,Inside,N,Yes,Yes,78,"$7,263,988",$0,$0,822,64,69,70,76,86,95,122,107,102,0,0,0,0,425,52%,397,48%,6,1%,717,87%,65,8%,13,2%,21,3%,92,11%,24,3%,588,72%,59%,224,552,2,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,718-922-3505,"845 EAST  96 STREET, BROOKLYN NY 11236",2,0,Yes,Fully Accessible,No
401,18K114,K114,P.S. 114 Ryder Elementary,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1907,1907,111,1009815,173437,318,46,96400,3081600022,BK50,Canarsie                                                                   ,Darwin Smith,18,K818,40.642684,-73.90788,54,194,54,28%,75,209,98,47%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,52,26,50%,26,50%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,40,77%,6,12%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,81,41%,68,32%,No,9,24,0,0,24,1,Multi-Purpose Classroom,Y,Inside,Y,Yes,Yes,75,"$6,140,034",$0,$0,522,74,69,73,88,76,90,0,0,0,0,0,0,0,266,51%,256,49%,6,1%,430,82%,59,11%,5,1%,22,4%,123,24%,71,14%,401,77%,81%,186,441,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-257-4428,"1077 REMSEN AVENUE, BROOKLYN NY 11236",1,2,Yes,Partially Accessible,No
402,18K115,K115,P.S. 115 Daniel Mucatel School,332000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1922,1922,96,1012589,170590,318,46,100800,3082560001,BK50,Canarsie                                                                   ,Loren Borgese,18,K818,40.634861,-73.897896,108,231,81,35%,100,319,122,38%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,98,43,44%,55,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,82,84%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,6,6%,175,42%,166,38%,Yes,24,25,0,24,26,1,Dance Room,N,Inside,N,Yes,Yes,101,"$9,459,455",$0,$0,971,128,133,152,150,155,155,0,0,0,0,0,0,0,478,49%,493,51%,39,4%,791,81%,80,8%,14,1%,47,5%,167,17%,77,8%,599,62%,65%,794,769,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,None,718-241-1000,"1500 EAST  92 STREET, BROOKLYN NY 11236",1,1,No,Partially Accessible,Yes
